doc_id,title,authors,year,language,publication,physical_description,record_id,source_url,pages_count,pdf_status,mrc_status,processing_status,scan_quality,music_pages_count,omr_status,comments
rsl01001872102,"Красная шапочка Сборник 9-ти песен, соединен. с декламациею: Для 2-х сопрано и альта (соло и хоры) с аккомп. ф.-п.","Абт, Франц",1892,rus,Москва Юргенсон ценз. 1892,54 с.,001872102,http://dlib.rsl.ru/rsl01001000000/rsl01001872000/rsl01001872102/rsl01001872102.pdf,64,exists,parsed,imported,unknown,,not_started,
rsl01001880747,Утоли болезни : для смешанного хора [без сопровождения],"Багрецов, Фёдор Алексеевич 1812-1874",1914,rus,Санкт-Петербург собственность издателя Н. Е. Зипалова ценз. 1914,"3 с. 27,0х19,0х0,1 см",001880747,http://dlib.rsl.ru/rsl01001000000/rsl01001880000/rsl01001880747/rsl01001880747.pdf,5,exists,parsed,imported,unknown,,not_started,
rsl01004466011,Практическая школа для пения изд. для баса или баритона,"Абт, Франц 1819-1885",1923,rus,"Москва ; Пг. Гос. изд-во, Муз. сектор 1923",79 с.,004466011,http://dlib.rsl.ru/rsl01004000000/rsl01004466000/rsl01004466011/rsl01004466011.pdf,81,exists,parsed,imported,unknown,,not_started,
rsl01004468752,"Две сонаты : си минор, соль минор : скрипка","Абако, Эваристо Феличе далль'",,rus,,8 с.,004468752,http://dlib.rsl.ru/rsl01004000000/rsl01004468000/rsl01004468752/rsl01004468752.pdf,8,exists,parsed,imported,unknown,,not_started,
rsl01004469137,Моряк скиталец : романтическая опера в 3-х действиях,"Вагнер, Рихард",,rus,П. Юргенсон,271 с.,004469137,http://dlib.rsl.ru/rsl01004000000/rsl01004469000/rsl01004469137/rsl01004469137.pdf,271,exists,parsed,imported,unknown,,not_started,
rsl01004469140,"Валькирия : первый день из трилогии ""Кольцо Нибелунгов"" : для одного фортепиано : с русским и немецким текстами","Вагнер, Рихард",,rus,Г. Шмидт,204 с.,004469140,http://dlib.rsl.ru/rsl01004000000/rsl01004469000/rsl01004469140/rsl01004469140.pdf,204,exists,parsed,imported,unknown,,not_started,
rsl01004470263,Пустыня = Le desert : ода-симфония в 3 частях,"Давид, Фелисьен",,rus,А. Гутхейль,31 с.,004470263,http://dlib.rsl.ru/rsl01004000000/rsl01004470000/rsl01004470263/rsl01004470263.pdf,30,exists,parsed,imported,unknown,,not_started,
rsl01004470876,Все-вы!,"Абаз, В.В.",,rus,Н. Х. Давингоф,5 с.,004470876,http://dlib.rsl.ru/rsl01004000000/rsl01004470000/rsl01004470876/rsl01004470876.pdf,5,exists,parsed,imported,unknown,,not_started,
rsl01004470881,Гимн святым братьям Кириллу и Мефодию : для 4-х голосного хора (смешанных голосов),"Абаза, Аркадий Максимович",,rus,А. Гутхейль,5 с.,004470881,http://dlib.rsl.ru/rsl01004000000/rsl01004470000/rsl01004470881/rsl01004470881.pdf,4,exists,parsed,imported,unknown,,not_started,
rsl01004470882,Одно мне в жизни утешенье,"Абаза, Аркадий Максимович",,rus,А. Гутхейль,3 с.,004470882,http://dlib.rsl.ru/rsl01004000000/rsl01004470000/rsl01004470882/rsl01004470882.pdf,3,exists,parsed,imported,unknown,,not_started,
