doc_id,page_index,page_type,image_path,has_music_score,selection_reason,mxl_path,reviewer,review_date,checked_measures,correct_measures,reference_notes,matched_notes,pitch_errors,duration_errors,missing_notes,extra_notes,voice_errors,measure_errors,page_usable,dominant_error,expert_comment
rsl01001872102,37,music,outputs\pages\rsl01001872102\page_037.png,1.0,random_successful,outputs\omr_300dpi\rsl01001872102\page_037\page_037.mxl,,,,,,,,,,,,,,,
rsl01001872102,40,music,outputs\pages\rsl01001872102\page_040.png,1.0,document_coverage,outputs\omr_300dpi\rsl01001872102\page_040\page_040.mxl,,,,,,,,,,,,,,,
rsl01004466011,47,music,outputs\pages\rsl01004466011\page_047.png,1.0,document_coverage,outputs\omr_300dpi\rsl01004466011\page_047\page_047.mxl,,,,,,,,,,,,,,,
rsl01004468752,7,music,outputs\pages\rsl01004468752\page_007.png,0.8,low_confidence;document_coverage,outputs\omr_300dpi\rsl01004468752\page_007\page_007.mvt1.mxl,,,,,,,,,,,,,,,
rsl01004469137,21,music,outputs\pages\rsl01004469137\page_021.png,1.0,document_coverage,outputs\omr_300dpi\rsl01004469137\page_021\page_021.mxl,,,,,,,,,,,,,,,
rsl01004469137,149,music,outputs\pages\rsl01004469137\page_149.png,1.0,random_successful,outputs\omr_300dpi\rsl01004469137\page_149\page_149.mxl,,,,,,,,,,,,,,,
rsl01004471003,34,music,outputs\pages\rsl01004471003\page_034.png,0.8,low_confidence;document_coverage,outputs\omr_300dpi\rsl01004471003\page_034\page_034.mxl,,,,,,,,,,,,,,,
rsl01004473921,3,mixed,outputs\pages\rsl01004473921\page_003.png,0.8487,mixed;low_confidence,outputs\omr_300dpi\rsl01004473921\page_003\page_003.mxl,,,,,,,,,,,,,,,
rsl01004475471,7,mixed,outputs\pages\rsl01004475471\page_007.png,0.8618,mixed;failure_document;low_confidence,outputs\omr_300dpi\rsl01004475471\page_007\page_007.mvt1.mxl,,,,,,,,,,,,,,,
rsl01004475471,9,mixed,outputs\pages\rsl01004475471\page_009.png,0.801,mixed;failure_document;low_confidence,outputs\omr_300dpi\rsl01004475471\page_009\page_009.mvt1.mxl,,,,,,,,,,,,,,,
rsl01010549152,13,music,outputs\pages\rsl01010549152\page_013.png,0.285,failure_document;low_confidence,outputs\omr_300dpi\rsl01010549152\page_013\page_013.mxl,,,,,,,,,,,,,,,
rsl01010549152,17,music,outputs\pages\rsl01010549152\page_017.png,0.285,failure_document;low_confidence,outputs\omr_300dpi\rsl01010549152\page_017\page_017.mxl,,,,,,,,,,,,,,,
rsl01010590489,14,mixed,outputs\pages\rsl01010590489\page_014.png,0.6071,mixed;low_confidence,outputs\omr_300dpi\rsl01010590489\page_014\page_014.mxl,,,,,,,,,,,,,,,
rsl01010590489,21,mixed,outputs\pages\rsl01010590489\page_021.png,0.8251,mixed;low_confidence,outputs\omr_300dpi\rsl01010590489\page_021\page_021.mxl,,,,,,,,,,,,,,,
rsl01010590489,25,music,outputs\pages\rsl01010590489\page_025.png,0.9167,low_confidence;random_successful,outputs\omr_300dpi\rsl01010590489\page_025\page_025.mxl,,,,,,,,,,,,,,,
rsl01011764135,14,music,outputs\pages\rsl01011764135\page_014.png,0.285,low_confidence;document_coverage,outputs\omr_300dpi\rsl01011764135\page_014\page_014.mxl,,,,,,,,,,,,,,,
rsl01011764135,40,music,outputs\pages\rsl01011764135\page_040.png,0.285,low_confidence;random_successful,outputs\omr_300dpi\rsl01011764135\page_040\page_040.mxl,,,,,,,,,,,,,,,
rsl01012190186,25,mixed,outputs\pages\rsl01012190186\page_025.png,0.6,mixed;failure_document;low_confidence,outputs\omr_300dpi\rsl01012190186\page_025\page_025.mxl,,,,,,,,,,,,,,,
rsl01012190186,29,mixed,outputs\pages\rsl01012190186\page_029.png,0.6,mixed;failure_document;low_confidence,outputs\omr_300dpi\rsl01012190186\page_029\page_029.mxl,,,,,,,,,,,,,,,
rsl01012190186,37,mixed,outputs\pages\rsl01012190186\page_037.png,0.565,mixed;failure_document;low_confidence;random_successful,outputs\omr_300dpi\rsl01012190186\page_037\page_037.mxl,,,,,,,,,,,,,,,
rsl01012190186,45,mixed,outputs\pages\rsl01012190186\page_045.png,0.6,mixed;failure_document;low_confidence;random_successful,outputs\omr_300dpi\rsl01012190186\page_045\page_045.mxl,,,,,,,,,,,,,,,
rsl01012190186,49,mixed,outputs\pages\rsl01012190186\page_049.png,0.8,mixed;failure_document;low_confidence,outputs\omr_300dpi\rsl01012190186\page_049\page_049.mxl,,,,,,,,,,,,,,,
rsl01013682642,9,music,outputs\pages\rsl01013682642\page_009.png,0.285,failure_document;low_confidence,outputs\omr_300dpi\rsl01013682642\page_009\page_009.mxl,,,,,,,,,,,,,,,
rsl01013687437,17,music,outputs\pages\rsl01013687437\page_017.png,0.355,failure_document;low_confidence,outputs\omr_300dpi\rsl01013687437\page_017\page_017.mvt1.mxl,,,,,,,,,,,,,,,
rsl01013687437,28,music,outputs\pages\rsl01013687437\page_028.png,0.53,failure_document;low_confidence,outputs\omr_300dpi\rsl01013687437\page_028\page_028.mvt1.mxl,,,,,,,,,,,,,,,
