doc_id,page_index,page_type,has_music,quality_comment,image_path,has_music_pred,has_music_score,validation_source,needs_review,omr_eval_group,mxl_path,selection_reason
rsl01001872102,37,music,1,,outputs\pages\rsl01001872102\page_037.png,1,1.0,manual_previous,0,manual_validated,outputs\omr_300dpi\rsl01001872102\page_037\page_037.mxl,random_successful
rsl01001872102,40,music,1,,outputs\pages\rsl01001872102\page_040.png,1,1.0,manual_previous,0,manual_validated,outputs\omr_300dpi\rsl01001872102\page_040\page_040.mxl,document_coverage
rsl01004466011,47,music,1,,outputs\pages\rsl01004466011\page_047.png,1,1.0,manual_previous,0,manual_validated,outputs\omr_300dpi\rsl01004466011\page_047\page_047.mxl,document_coverage
rsl01004468752,7,music,1,,outputs\pages\rsl01004468752\page_007.png,1,0.8,manual_previous,1,manual_validated,outputs\omr_300dpi\rsl01004468752\page_007\page_007.mvt1.mxl,low_confidence;document_coverage
rsl01004469137,21,music,1,,outputs\pages\rsl01004469137\page_021.png,1,1.0,manual_previous,0,manual_validated,outputs\omr_300dpi\rsl01004469137\page_021\page_021.mxl,document_coverage
rsl01004469137,149,music,1,,outputs\pages\rsl01004469137\page_149.png,1,1.0,manual_previous,0,manual_validated,outputs\omr_300dpi\rsl01004469137\page_149\page_149.mxl,random_successful
rsl01004471003,34,music,1,,outputs\pages\rsl01004471003\page_034.png,1,0.8,template_prediction,1,template_prediction,outputs\omr_300dpi\rsl01004471003\page_034\page_034.mxl,low_confidence;document_coverage
rsl01004473921,3,mixed,1,,outputs\pages\rsl01004473921\page_003.png,1,0.8487,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01004473921\page_003\page_003.mxl,mixed;low_confidence
rsl01004475471,7,mixed,1,,outputs\pages\rsl01004475471\page_007.png,1,0.8618,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01004475471\page_007\page_007.mvt1.mxl,mixed;failure_document;low_confidence
rsl01004475471,9,mixed,1,,outputs\pages\rsl01004475471\page_009.png,1,0.801,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01004475471\page_009\page_009.mvt1.mxl,mixed;failure_document;low_confidence
