doc_id,page_index,page_type,has_music,quality_comment,image_path,has_music_pred,has_music_score,validation_source,needs_review,review_reason,priority_group
rsl01001872102,1,unknown,0,,outputs\pages\rsl01001872102\page_001.png,0,0.2559,manual_previous,1,unknown;uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01001872102,2,unknown,0,,outputs\pages\rsl01001872102\page_002.png,0,0.285,manual_previous,1,unknown;uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01001872102,5,title,0,,outputs\pages\rsl01001872102\page_005.png,0,0.4151,manual_previous,1,uncertain_score;high_score_non_music,uncertain
rsl01001872102,6,unknown,0,,outputs\pages\rsl01001872102\page_006.png,0,0.0,manual_previous,1,unknown,unknown
rsl01001872102,63,blank,0,"empty page, manually corrected after visual check",outputs\pages\rsl01001872102\page_063.png,0,0.0352,manual_previous,0,last_2_pages,boundary_pages
rsl01001872102,64,unknown,0,,outputs\pages\rsl01001872102\page_064.png,0,0.0,manual_previous,1,unknown;last_2_pages,boundary_pages;unknown
rsl01001880747,1,title,0,,outputs\pages\rsl01001880747\page_001.png,1,1.0,manual_previous,1,first_2_pages,boundary_pages
rsl01001880747,2,music,1,,outputs\pages\rsl01001880747\page_002.png,1,1.0,manual_previous,0,first_2_pages,boundary_pages
rsl01001880747,4,text,0,,outputs\pages\rsl01001880747\page_004.png,1,0.46,manual_previous,1,uncertain_score;last_2_pages;low_confidence_music,boundary_pages;uncertain
rsl01001880747,5,text,0,,outputs\pages\rsl01001880747\page_005.png,0,0.32,manual_previous,1,uncertain_score;last_2_pages;high_score_non_music,boundary_pages;uncertain
rsl01004466011,1,unknown,0,,outputs\pages\rsl01004466011\page_001.png,0,0.1465,manual_previous,1,unknown;uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01004466011,2,unknown,0,,outputs\pages\rsl01004466011\page_002.png,0,0.0,manual_previous,1,unknown;first_2_pages,boundary_pages;unknown
