"doc_id","page_index","page_type","has_music","quality_comment"
"rsl01001872102","1","title","0",""
"rsl01004466011","1","title","0",""
"rsl01004466011","2","blank","0",""
"rsl01004466011","3","blank","0",""
"rsl01004469140","1","title","0",""
"rsl01004470876","1","title","0",""
"rsl01004470881","1","title","0",""
"rsl01004470997","1","title","0",""
"rsl01004470999","1","title","0",""
"rsl01004471003","1","title","0",""
"rsl01004471003","2","title","0",""
"rsl01004471003","3","text","0",""
"rsl01004471369","1","title","0",""
"rsl01004472531","1","title","0",""
"rsl01004472531","2","title","0",""
"rsl01004472531","3","title","0",""
"rsl01004472531","4","title","0",""
"rsl01004472531","5","text","0",""
"rsl01004472531","6","text","0",""
"rsl01004472531","7","text","0",""
"rsl01004472531","8","text","0",""
"rsl01004472531","9","text","0",""
"rsl01004472531","10","text","0",""
"rsl01004472531","11","text","0",""
"rsl01004472531","12","text","0",""
"rsl01004472531","13","text","0",""
"rsl01004472531","14","text","0",""
"rsl01004472531","15","text","0",""
"rsl01004472531","16","text","0",""
"rsl01004472531","17","text","0",""
"rsl01004472531","18","text","0",""
"rsl01004472531","19","text","0",""
"rsl01004472531","297","title","0",""
"rsl01004472531","298","text","0",""
"rsl01004472532","1","title","0",""
"rsl01004472532","2","title","0",""
"rsl01004472532","3","title","0",""
"rsl01004472532","4","title","0",""
"rsl01004472532","5","text","0",""
"rsl01004472532","6","text","0",""
"rsl01004472532","7","text","0",""
"rsl01004472532","8","text","0",""
"rsl01004472532","9","text","0",""
"rsl01004472532","10","text","0",""
"rsl01004472532","11","text","0",""
"rsl01004472532","12","text","0",""
"rsl01004472532","13","text","0",""
"rsl01004472532","14","text","0",""
"rsl01004472532","15","text","0",""
"rsl01004472532","16","text","0",""
"rsl01004472532","17","text","0",""
"rsl01004472532","18","text","0",""
"rsl01004472532","19","text","0",""
"rsl01004472532","20","text","0",""
"rsl01004472532","21","text","0",""
"rsl01004472532","22","text","0",""
"rsl01004472532","23","text","0",""
"rsl01004472532","24","text","0",""
"rsl01004472532","25","text","0",""
"rsl01004472536","1","title","0",""
"rsl01004472536","2","title","0",""
"rsl01004472536","3","title","0",""
"rsl01004472537","1","title","0",""
"rsl01004472537","2","title","0",""
"rsl01004472537","3","title","0",""
"rsl01004472988","1","title","0",""
"rsl01004472988","5","title","0",""
"rsl01004472988","10","title","0",""
"rsl01004472988","14","title","0",""
"rsl01004473008","1","title","0",""
"rsl01004473008","2","title","0",""
"rsl01004473064","1","title","0",""
"rsl01004473106","1","title","0",""
"rsl01004473127","1","title","0",""
"rsl01004473921","1","title","0",""
"rsl01004473921","3","mixed","1",""
"rsl01004475459","1","title","0",""
"rsl01004475459","2","title","0",""
"rsl01004475471","1","title","0",""
"rsl01004475471","2","title","0",""
"rsl01004475471","3","mixed","1",""
"rsl01004475471","6","mixed","1",""
"rsl01004475471","7","mixed","1",""
"rsl01004475471","9","mixed","1",""
