doc_id,page_index,tracks_count,usable,pitch_quality,duration_quality,overall_quality,comment
rsl01001872102,37,3,,,,,
rsl01001872102,40,5,,,,,
rsl01004466011,47,3,,,,,
rsl01004468752,7,1,,,,,
rsl01004469137,21,2,,,,,
rsl01004469137,149,3,,,,,
rsl01004471003,34,11,,,,,
rsl01004473921,3,3,,,,,
rsl01004475471,7,1,,,,,
rsl01004475471,9,1,,,,,
rsl01010549152,13,8,,,,,
rsl01010549152,17,2,,,,,
rsl01010590489,14,3,,,,,
rsl01010590489,21,3,,,,,
rsl01010590489,25,3,,,,,
rsl01011764135,14,2,,,,,
rsl01011764135,40,2,,,,,
rsl01012190186,25,2,,,,,
rsl01012190186,29,2,,,,,
rsl01012190186,37,2,,,,,
rsl01012190186,45,2,,,,,
rsl01012190186,49,2,,,,,
rsl01013682642,9,2,,,,,
rsl01013687437,17,1,,,,,
rsl01013687437,28,1,,,,,
rsl01013687437,31,1,,,,,
rsl01013957967,8,1,,,,,
rsl01013957967,18,1,,,,,
rsl01013957967,20,1,,,,,
rsl01013957967,31,2,,,,,
